Power=  262	FLYMODE 	 Yaw= 257.04	 Pitch= -0.87	 Roll= -2.71	 Error pitch= 0.85	 Error roll= 2.07	 Eng1= 1251	 Eng2= 1267	 Eng3= 1257	 Eng4= 1273	Delta T=4292
Power=  262	FLYMODE 	 Yaw= 258.46	 Pitch= -0.28	 Roll= -2.79	 Error pitch= 0.25	 Error roll= 2.48	 Eng1= 1252	 Eng2= 1270	 Eng3= 1254	 Eng4= 1272	Delta T=4200
Power=  262	FLYMODE 	 Yaw= 260.56	 Pitch= -0.20	 Roll= -2.40	 Error pitch= 0.18	 Error roll= 2.49	 Eng1= 1253	 Eng2= 1271	 Eng3= 1253	 Eng4= 1271	Delta T=4144
Power=  262	FLYMODE 	 Yaw= 261.29	 Pitch= -0.29	 Roll= -2.34	 Error pitch= 0.25	 Error roll= 2.42	 Eng1= 1252	 Eng2= 1270	 Eng3= 1254	 Eng4= 1272	Delta T=4148
Power=  262	FLYMODE 	 Yaw= 260.67	 Pitch= -1.14	 Roll= -2.23	 Error pitch= 1.11	 Error roll= 2.33	 Eng1= 1249	 Eng2= 1267	 Eng3= 1257	 Eng4= 1275	Delta T=4212
Power=  262	FLYMODE 	 Yaw= 261.89	 Pitch= -1.20	 Roll= -1.68	 Error pitch= 1.17	 Error roll= 2.17	 Eng1= 1250	 Eng2= 1266	 Eng3= 1258	 Eng4= 1274	Delta T=4276
Power=  262	FLYMODE 	 Yaw= 262.91	 Pitch= -1.21	 Roll= -1.17	 Error pitch= 1.18	 Error roll= 1.70	 Eng1= 1252	 Eng2= 1264	 Eng3= 1260	 Eng4= 1272	Delta T=4220
Power=  262	FLYMODE 	 Yaw= 262.44	 Pitch= -1.10	 Roll= -2.20	 Error pitch= 1.08	 Error roll= 1.63	 Eng1= 1252	 Eng2= 1264	 Eng3= 1260	 Eng4= 1272	Delta T=4204
Power=  262	FLYMODE 	 Yaw= 262.56	 Pitch= -0.71	 Roll= -2.90	 Error pitch= 0.69	 Error roll= 2.19	 Eng1= 1252	 Eng2= 1268	 Eng3= 1256	 Eng4= 1272	Delta T=4208
Power=  262	FLYMODE 	 Yaw= 262.57	 Pitch= -0.61	 Roll= -3.02	 Error pitch= 0.57	 Error roll= 2.61	 Eng1= 1250	 Eng2= 1270	 Eng3= 1254	 Eng4= 1274	Delta T=4184
Power=  262	FLYMODE 	 Yaw= 261.95	 Pitch= -0.92	 Roll= -2.97	 Error pitch= 0.90	 Error roll= 2.80	 Eng1= 1248	 Eng2= 1270	 Eng3= 1254	 Eng4= 1276	Delta T=4260
Power=  262	FLYMODE 	 Yaw= 261.35	 Pitch= -1.47	 Roll= -2.89	 Error pitch= 1.43	 Error roll= 2.86	 Eng1= 1246	 Eng2= 1268	 Eng3= 1256	 Eng4= 1278	Delta T=4252
Power=  262	FLYMODE 	 Yaw= 262.14	 Pitch= -1.06	 Roll= -2.94	 Error pitch= 1.08	 Error roll= 2.87	 Eng1= 1247	 Eng2= 1269	 Eng3= 1255	 Eng4= 1277	Delta T=4144
Power=  262	FLYMODE 	 Yaw= 262.01	 Pitch= -1.13	 Roll= -1.97	 Error pitch= 1.12	 Error roll= 2.68	 Eng1= 1248	 Eng2= 1268	 Eng3= 1256	 Eng4= 1276	Delta T=4164
Power=  262	FLYMODE 	 Yaw= 261.69	 Pitch= -1.28	 Roll= -1.46	 Error pitch= 1.25	 Error roll= 2.10	 Eng1= 1249	 Eng2= 1265	 Eng3= 1259	 Eng4= 1275	Delta T=4184
Power=  262	FLYMODE 	 Yaw= 260.52	 Pitch= -0.70	 Roll= -1.73	 Error pitch= 0.68	 Error roll= 1.82	 Eng1= 1253	 Eng2= 1267	 Eng3= 1257	 Eng4= 1271	Delta T=4172
Power=  262	FLYMODE 	 Yaw= 260.06	 Pitch= -0.56	 Roll= -1.84	 Error pitch= 0.54	 Error roll= 1.81	 Eng1= 1253	 Eng2= 1267	 Eng3= 1257	 Eng4= 1271	Delta T=4228
Power=  262	FLYMODE 	 Yaw= 261.16	 Pitch= -1.05	 Roll= -2.66	 Error pitch= 1.02	 Error roll= 2.11	 Eng1= 1250	 Eng2= 1266	 Eng3= 1258	 Eng4= 1274	Delta T=4196
Power=  262	FLYMODE 	 Yaw= 261.42	 Pitch= -1.18	 Roll= -2.87	 Error pitch= 1.15	 Error roll= 2.48	 Eng1= 1249	 Eng2= 1267	 Eng3= 1257	 Eng4= 1275	Delta T=4184
Power=  261	FLYMODE 	 Yaw= 262.66	 Pitch= -1.39	 Roll= -1.93	 Error pitch= 1.36	 Error roll= 2.44	 Eng1= 1247	 Eng2= 1265	 Eng3= 1257	 Eng4= 1275	Delta T=4200
